$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44215.04,-5.21,-8.36,2.14,2.98,0.01,581.99
44215.08,-5.33,-8.62,2.27,3,0.01,581.39
44215.12,-5.49,-8.84,2.37,3,0,580.92
44215.17,-5.58,-8.96,2.4,3,0,580.6
44215.21,-5.53,-8.93,2.44,3,0,580.05
44215.25,-4.56,-8.29,2.71,3.04,0,579.98
44215.29,-4.41,-8.08,2.69,3.01,0.02,579.75
44215.33,-4.61,-8.08,2.6,2.98,2.55,580.25
44215.38,-6.57,-8.64,1.66,3.02,6.98,580.41
44215.42,0.26,-4.19,1.83,3,2.65,580.73
44215.46,1.78,-2.46,1.69,0.01,1.5,580.69
44215.5,2.51,-1.4,1.54,0.16,1.1,580.33
44215.54,6.01,-0.33,1.49,0.3,1.32,579.73
44215.58,5.2,0.19,1.62,0.39,3.56,578.92
44215.62,4.6,0.19,1.6,0.43,7.16,578.38
