group,year,neff,input_samples,representable_samples,representable_percent,stage_bias_m,stage_mae_m,stage_rmse_m,stage_correlation,stage_within_0p5m_percent,stage_within_1p0m_percent,samples,bias_m3s,mae_m3s,rmse_m3s,median_ratio,within_20pct_percent
observed_flow_only,2020,0.075,83,83,100.0,0.08985568486110308,0.3844919717575908,0.5493699030261517,0.9754505456790841,90.36144578313254,91.56626506024097,83,-230.39070391434134,695.6256785207537,904.752133401777,0.652491916132271,0.0
observed_flow_only,2021,0.07,3980,3287,82.58793969849246,0.1993361556923614,1.237078035522643,1.7745953271367003,0.9685606690042229,42.1356783919598,60.27638190954774,3929,-490.85314637711537,786.9149764068142,1056.3815603834294,0.7247809134766718,41.58819037923136
observed_flow_only,2021,0.0725,3980,3284,82.51256281407035,0.3029955483105428,1.2689162404285759,1.8067072697394206,0.9679565072944168,43.165829145728644,59.27135678391959,3929,-600.9791316964107,804.8112410512703,1035.9339716255452,0.6982419512437368,39.52659709849834
observed_flow_only,2021,0.075,3980,3281,82.43718592964824,0.4077378846509623,1.324072564200312,1.8482283760740537,0.9672245672445641,37.713567839195974,56.78391959798995,3929,-703.3931475850056,849.394396762792,1037.2300801431568,0.673613361405179,36.625095444133365
observed_flow_only,2022,0.07,3903,3534,90.5457340507302,0.7100512053321213,1.1565659150962977,1.736864298308046,0.95862663916294,45.78529336407892,61.183704842428895,3903,-598.5038216679261,781.0474598523507,1040.669727852086,0.7096103249789164,43.22316167050986
observed_flow_only,2022,0.0725,3903,3484,89.26466820394569,0.8421133343592063,1.1859462434326022,1.7935895400358517,0.9590041815653547,47.24570842941328,61.28619011017167,3903,-707.002695291237,803.8330456123673,1063.09902640905,0.6838282225978206,41.40404816807584
observed_flow_only,2022,0.075,3903,3457,88.57289264668205,0.974780515765323,1.257724557186641,1.8643238894852454,0.9588863803694732,41.890853189853964,59.800153727901616,3903,-807.8628496381438,858.2512482059965,1098.743420545893,0.6599814238212024,39.09812964386369
observed_flow_only,2023,0.07,4219,3196,75.75254799715573,0.054902410501612785,1.0778547885895433,1.4500280579818474,0.9720803143268673,43.61223038634748,56.71960180137473,4219,-578.487106005453,640.7329424938978,730.5765629590894,0.7790561943070626,45.88765110215691
observed_flow_only,2023,0.0725,4219,3147,74.59113534012799,0.17537073521327073,1.1607719196729238,1.5094711920215638,0.9703569953260265,37.42593031524058,54.56269258118037,4219,-682.9018758146325,714.5844668861355,792.5773889657016,0.7507179934200912,39.3695188433278
observed_flow_only,2023,0.075,4219,3086,73.14529509362409,0.28904355870421994,1.255218062004014,1.573502895500958,0.9687881133677639,27.02062100023702,51.95543967764873,4219,-779.9003701952046,797.0940747000577,861.8904313226934,0.7242704545480706,34.202417634510546
observed_flow_only,2024,0.07,4333,4306,99.37687514424186,0.7245194758591894,0.8978878542314256,1.1852665969425307,0.9904078876816214,43.04177244403415,64.29725363489499,4333,-547.0352523435134,673.3072812393902,776.8679681254387,0.7989860051649348,49.29609969997692
observed_flow_only,2024,0.0725,4333,4297,99.16916685898916,0.8732788686113422,0.9604078229792835,1.2582952156965075,0.9918910751835197,41.24163397184399,61.389337641357024,4333,-660.5654260476257,720.2011018526318,821.9200134985681,0.7698372136782985,45.76505885068082
observed_flow_only,2024,0.075,4333,4290,99.00761597045926,1.0168806206559549,1.0564983540855621,1.346347931518713,0.9928399517761964,36.833602584814216,56.081237018232166,4333,-766.0415579279285,789.7532641647705,881.3517272285233,0.7427917102990284,41.68012924071082
observed_flow_only,2025,0.07,4148,4133,99.63837994214079,0.5851007396890748,0.7101807117246534,0.9308931445800352,0.9927870271109178,51.39826422372228,75.53037608486018,4148,-595.9174601858649,682.3504832279569,763.5835194940613,0.8004116879465824,49.97589199614272
