group,year,derivative_window_hours,samples,median_storage_rate_m3s,p10_storage_rate_m3s,p90_storage_rate_m3s,closure_bias_m3s,closure_mae_m3s,closure_rmse_m3s,closure_median_ratio,closure_within_20pct_percent
stable,2025,2,2655,-0.3892977914845364,-61.254367964181625,61.61745795280072,-823.4014263052827,826.4312587604393,878.6813476883437,0.6822513979594214,29.868173258003765
stage_moving_or_mixed,2020,2,27,-21.17940695680264,-56.13254110059018,68.61397796977484,342.8510859063329,1061.9114540608532,1453.5746955786092,0.7035273524870661,0.0
stage_moving_or_mixed,2021,2,3108,5.2518380376003275,-102.9774367802559,109.04677525041159,-589.4761241483628,805.6907391182328,1046.1693522445003,0.7192581076056004,40.057915057915054
stage_moving_or_mixed,2022,2,2743,-0.6533698584118651,-109.8897338189578,111.36533703647514,-688.1999778338153,788.2191096469523,1010.7679980269123,0.6681002254833414,42.43528982865476
stage_moving_or_mixed,2023,2,3149,-0.06296043651178479,-212.6719446806761,260.1234319618379,-655.6176537353741,707.1957105940086,791.7005770770531,0.7331954134622775,36.17021276595745
stage_moving_or_mixed,2024,2,3371,1.57250756462622,-152.73543059996535,171.70746246053525,-805.0338675450615,877.4172425752722,968.4024377778144,0.625665364047917,31.830317413230496
stage_moving_or_mixed,2025,2,3009,-3.953338417001069,-104.10380343614767,76.32920940483656,-783.2928759560757,818.612551357205,903.6543844768433,0.6944916194247996,35.427052176802924
all,2020,6,163,-9.742379892284257,-36.33028741595425,12.666503887234331,-198.76535891117044,694.0927591687969,949.7402341343912,0.6711835512343474,1.2269938650306749
all,2021,6,7824,0.27185429019094615,-94.57655466446053,106.34345852907057,-594.3917747697747,829.7324820599758,1064.780838401444,0.7010646441867693,38.58640081799591
all,2022,6,7776,-1.7483752844406775,-176.40280940615315,171.54654584737546,-699.1299297985622,830.6888919212261,1084.7042839836727,0.6929557190479689,41.293724279835395
all,2023,6,8382,2.1053384325853375,-235.91628926382185,230.7145222071298,-681.8856400022866,732.1445535459476,820.3934544070909,0.7460003148563485,39.64447625864948
all,2024,6,8660,8.155487839422465,-364.9869261993052,316.64999712730224,-655.6153696139779,754.0203062738251,856.1037638412776,0.7680479603666452,45.05773672055427
all,2025,6,8253,-3.9583112962923392,-204.16020063227472,206.0630986735948,-704.787632826666,760.8846792579747,850.5616385717699,0.7730182670586163,45.34108808917969
falling_flow,2020,6,0,,,,,,,,
falling_flow,2021,6,569,-250.64286906005333,-630.9835460077924,-42.74986522662833,-595.4429769687762,877.4837782016516,1229.068925785718,0.872996963610537,63.79613356766256
falling_flow,2022,6,993,-319.99693942036964,-883.676044393946,-57.337549834673865,-895.4219719129494,1025.9941626288107,1398.0030544136143,0.828659793068719,50.251762336354474
falling_flow,2023,6,1492,-235.22151289069438,-723.7144854879444,-70.3457797336066,-862.158068403871,884.366997780421,1018.9771999879341,0.7704210113781471,44.571045576407506
falling_flow,2024,6,1788,-322.51423355100746,-637.6226840725086,-63.219289930472364,-646.1759541159191,738.3866633196517,859.8691358760472,0.8499548591369217,59.675615212527966
falling_flow,2025,6,1311,-249.1472817828313,-778.3347413522105,-72.37562224422754,-720.4058241327396,752.9529985701223,885.1557326633457,0.8587460736129247,67.35316552250191
rising_flow,2020,6,0,,,,,,,,
rising_flow,2021,6,585,266.57617946044644,39.51652955423849,639.9361134617365,-24.72546139196244,579.6534028997759,775.7014806717268,0.991831135660131,79.82905982905983
rising_flow,2022,6,941,320.3199793435019,21.257772434693244,917.5232271854414,-368.189744729187,897.4123455845994,1241.8256579428144,0.8635425401832775,48.565356004250795
rising_flow,2023,6,1541,211.81846144558207,52.392822456761365,671.0069873656519,-554.4006337140698,694.5283233353214,792.665824868247,0.8105687659730274,50.68137573004543
rising_flow,2024,6,1874,266.9322711532525,65.24211672102791,641.024628711023,-291.6504578400804,544.5946561812905,635.4727052982702,0.901411417565666,69.15688367129135
rising_flow,2025,6,1289,254.5872525141257,89.2086408262515,795.083774227631,-262.82884830641314,502.5564690527103,594.5536136102476,0.9167595137799097,77.8122575640031
