JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 40563.502,    56.191,    23.513,     3.961,     0.429,  7448.760,     0.000,     0.000,    19.507,  2898.534,     1.000,     3.949,   -68.227,     0.000,   249.297,   324.766,     4.903,   -12.144,     0.000,
 40563.544,    54.371,    23.508,     3.955,     0.416,  7353.461,     0.000,     0.000,    19.502,  2898.534,     1.000,     3.945,   -71.022,     0.000,   250.699,   324.755,    10.252,   -13.286,     0.000,
 40563.585,    58.633,    23.502,     3.961,     0.413,  7339.205,     0.000,     0.000,    19.496,  2635.031,     1.000,     3.951,   -70.341,     0.000,   250.784,   324.764,    11.344,   -14.982,     0.000,
 40563.627,    59.865,    23.490,     3.973,     0.402,  6980.518,     0.000,     0.000,    19.484,  2635.031,     1.000,     3.967,   -45.564,     0.000,   255.952,   324.875,    84.659,  -108.019,     0.000,
 40563.669,    59.773,    23.470,     3.989,     0.402,  6889.354,     0.000,     0.000,    19.464,  2635.031,     1.000,     3.989,   -62.877,     0.000,   255.529,   325.042,    64.330,   -70.967,     0.000,
 40563.710,    58.746,    23.477,     4.013,     0.415,  7319.486,     0.000,     0.000,    19.471,  2635.031,     1.000,     4.013,   -65.944,     0.000,   253.824,   325.155,    59.903,   -65.290,     0.000,
 40563.752,    61.440,    23.475,     4.033,     0.425,  7271.782,     0.000,     0.000,    19.469,  2635.031,     1.000,     4.033,   -89.182,     0.000,   250.399,   325.249,    66.524,   -52.192,     0.000,
 40563.794,    59.795,    23.471,     4.051,     0.416,  7427.161,     0.000,     0.000,    19.465,  2635.031,     1.000,     4.051,   -69.643,     0.000,   252.156,   325.335,    11.632,   -15.168,     0.000,
 40563.835,    61.326,    23.478,     4.072,     0.416,  7393.432,     0.000,     0.000,    19.472,  2635.031,     1.000,     4.073,   -27.684,     0.000,   289.926,   325.438,     8.736,   -16.565,     0.000,
 40563.877,    60.949,    23.474,     4.097,     0.406,  7191.257,     0.000,     0.000,    19.468,  2635.031,     1.000,     4.098,   -37.768,     0.000,   276.080,   325.553,     4.373,   -16.078,     0.000,
 40563.919,    61.253,    23.468,     4.120,     0.376,  7139.551,     0.000,     0.000,    19.462,  2635.031,     1.000,     4.120,   -56.923,     0.000,   254.116,   325.657,     7.889,   -22.507,     0.000,
 40563.961,    60.966,    23.467,     4.140,     0.400,  7132.786,     0.000,     0.000,    19.461,  2635.031,     1.000,     4.140,   -61.431,     0.000,   255.039,   325.751,     7.776,   -17.058,     0.000,
 40564.002,    61.977,    23.462,     4.158,     0.406,  7059.637,     0.000,     0.000,    19.456,  2635.031,     1.000,     4.158,   -16.055,     0.000,   298.545,   325.837,     6.000,   -17.238,     0.000,
 40564.044,    60.982,    23.460,     4.175,     0.395,  6996.358,     0.000,     0.000,    19.454,  2635.031,     1.000,     4.176,   -17.325,     0.000,   297.313,   325.922,     9.089,   -20.373,     0.000,
 40564.085,    61.926,    23.457,     4.190,     0.398,  7072.876,     0.000,     0.000,    19.451,  2635.031,     1.000,     4.190,   -32.110,     0.000,   289.496,   325.988,     6.488,   -10.870,     0.000,
 40564.127,    63.362,    23.453,     4.202,     0.396,  6992.285,     0.000,     0.000,    19.447,  2635.031,     1.000,     4.202,   -33.451,     0.000,   288.137,   326.044,     5.415,    -9.871,     0.000,
 40564.169,    62.256,    23.451,     4.213,     0.393,  6917.116,     0.000,     0.000,    19.445,  2635.031,     1.000,     4.213,   -23.116,     0.000,   292.586,   326.096,     2.521,   -12.915,     0.000,
 40564.210,    63.384,    23.455,     4.223,     0.370,  6903.688,     0.000,     0.000,    19.449,  2635.031,     1.000,     4.223,   -26.804,     0.000,   288.262,   326.142,    -0.321,   -10.754,     0.000,
 40564.252,    60.434,    23.448,     4.232,     0.389,  6896.247,     0.000,     0.000,    19.442,  2635.031,     1.000,     4.232,   -13.125,     0.000,   293.436,   326.185,    -5.001,   -14.624,     0.000,
 40564.294,    60.886,    23.450,     4.239,     0.390,  6882.007,     0.000,     0.000,    19.444,  2635.031,     1.000,     4.239,   -14.890,     0.000,   292.587,   326.219,    -4.789,   -13.953,     0.000,
 40564.335,    63.137,    23.447,     4.243,     0.386,  6735.394,     0.000,     0.000,    19.441,  2635.031,     1.000,     4.243,   -12.606,     0.000,   289.253,   326.235,    -6.717,   -17.659,     0.000,
 40564.377,    64.495,    23.446,     4.242,     0.379,  6742.884,     0.000,     0.000,    19.440,  2635.031,     1.000,     4.242,   -30.051,     0.000,   276.528,   326.232,    -5.392,   -14.261,     0.000,
 40564.419,    62.416,    23.448,     4.240,     0.386,  6747.710,     0.000,     0.000,    19.442,  2635.031,     1.000,     4.240,   -11.332,     0.000,   294.718,   326.224,    -5.905,   -14.269,     0.000,
 40564.461,    65.503,    23.445,     4.241,     0.393,  6714.469,     0.000,     0.000,    19.439,  2635.031,     1.000,     4.241,    -8.401,     0.000,   282.239,   326.226,   -11.281,   -24.306,     0.000,
 40564.502,    64.537,    23.447,     4.247,     0.376,  6603.654,     0.000,     0.000,    19.441,  2635.031,     1.000,     4.248,    16.539,     0.000,   303.074,   326.269,   -13.282,   -26.453,     0.000,
 40564.544,    65.496,    23.443,     4.262,     0.370,  6369.394,     0.000,     0.000,    19.437,  2635.031,     1.000,     4.267,    88.140,     0.000,   284.477,   326.403,   -44.399,   -85.667,     0.000,
 40564.585,    67.333,    23.432,     4.285,     0.364,  6371.103,     0.000,     0.000,    19.426,  2635.031,     1.000,     4.295,    67.672,     0.000,   300.893,   326.560,   -32.626,   -60.713,     0.000,
 40564.627,    67.276,    23.439,     4.317,     0.381,  6648.145,     0.000,     0.000,    19.433,  2635.031,     1.000,     4.323,    19.569,     0.000,   262.522,   326.632,   -27.693,   -55.985,     0.000,
 40564.669,    75.442,    23.441,     4.347,     0.371,  6541.287,     0.000,     0.000,    19.435,  2635.031,     1.000,     4.353,    73.794,     0.000,   286.034,   326.791,   -39.811,   -74.740,     0.000,
 40564.710,    66.403,    23.428,     4.382,     0.329,  6047.360,     0.000,     0.000,    19.422,  2635.031,     1.000,     4.390,   154.353,     0.000,   260.788,   326.996,   -75.859,  -144.702,     0.000,
 40564.752,    71.404,    23.423,     4.416,     0.365,  6353.001,     0.000,     0.000,    19.417,  2635.031,     1.000,     4.427,    63.011,     0.000,   261.443,   327.152,   -46.405,   -82.315,     0.000,
 40564.794,    67.451,    23.437,     4.453,     0.353,  6529.531,     0.000,     0.000,    19.431,  2635.031,     1.000,     4.461,    97.140,     0.000,   260.750,   327.323,   -62.463,  -101.249,     0.000,
 40564.835,    70.891,    23.433,     4.485,     0.356,  6197.245,     0.000,     0.000,    19.427,  2635.031,     1.000,     4.497,   110.311,     0.000,   262.679,   327.551,   -61.242,  -113.941,     0.000,
 40564.877,    66.393,    23.437,     4.522,     0.373,  6420.546,     0.000,     0.000,    19.431,  2635.031,     1.000,     4.530,    46.156,     0.000,   263.365,   327.615,   -32.321,   -78.085,     0.000,
 40564.919,    68.787,    23.445,     4.556,     0.371,  6550.803,     0.000,     0.000,    19.439,  2635.031,     1.000,     4.560,    35.307,     0.000,   263.365,   327.755,   -28.619,   -71.078,     0.000,
 40564.960,    70.861,    23.441,     4.589,     0.336,  5758.696,     0.000,     0.000,    19.435,  2635.031,     1.000,     4.598,   160.908,     0.000,   262.596,   327.962,   -64.424,  -161.850,     0.000,
 40565.002,    73.169,    23.424,     4.624,     0.333,  5691.018,     0.000,     0.000,    19.418,  2635.031,     1.000,     4.639,    93.404,     0.000,   261.777,   328.158,   -35.280,  -124.506,     0.000,
 40565.044,    69.387,    23.445,     4.667,     0.361,  6619.058,     0.000,     0.000,    19.439,  2635.031,     1.000,     4.669,    -6.592,     0.000,   259.588,   328.253,    -7.423,   -54.649,     0.000,
