$,
XXH,
JDAY,DGP
44253.12,1.2
44253.17,1.2
44253.21,1.2
44253.25,1.2
44253.29,1.2
44253.33,1.2
44253.38,1.2
44253.42,1.2
44253.46,1.2
44253.5,1.2
44253.54,1.2
44253.58,1.2
44253.62,1.2
44253.67,1.2
44253.71,1.2
44253.75,1.2
44253.79,1.2
44253.83,1.2
44253.88,1.2
44253.92,1.2
44253.96,1.2
44254,1.2
44254.04,1.2
44254.08,1.2
44254.12,1.2
44254.17,1.2
44254.21,1.2
44254.25,1.2
44254.29,1.2
44254.33,1.2
44254.38,1.2
44254.42,1.2
44254.46,1.2
44254.5,1.2
44254.54,1.2
44254.58,1.2
44254.62,1.2
44254.67,1.2
44254.71,1.2
44254.75,1.2
44254.79,1.2
44254.83,1.2
44254.88,1.2
44254.92,1.2
44254.96,1.2
44255,1.2
44255.04,1.2
44255.08,1.2
44255.12,1.2
44255.17,1.2
44255.21,1.2
44255.25,1.2
44255.29,1.2
44255.33,1.2
44255.38,1.2
44255.42,1.2
44255.46,1.2
44255.5,1.2
44255.54,1.2
44255.58,1.2
44255.62,1.2
44255.67,1.2
44255.71,1.2
44255.75,1.2
44255.79,1.2
44255.83,1.2
44255.88,1.2
44255.92,1.2
44255.96,1.2
44256,1.2
44256.04,1.2
44256.08,1.2
44256.12,1.2
44256.17,1.2
44256.21,1.2
44256.25,1.2
44256.29,1.2
44256.33,1.2
44256.38,1.2
44256.42,1.2
44256.46,1.2
44256.5,1.2
44256.54,1.2
44256.58,1.2
44256.62,1.2
44256.67,1.2
44256.71,1.2
44256.75,1.2
44256.79,1.2
44256.83,1.2
44256.88,1.2
44256.92,1.2
44256.96,1.2
44257,1.2
44257.04,1.2
44257.08,1.2
44257.12,1.2
44257.17,1.2
44257.21,1.2
44257.25,1.2
44257.29,1.2
44257.33,1.2
44257.38,1.2
44257.42,1.2
44257.46,1.2
44257.5,1.2
44257.54,1.2
44257.58,1.2
44257.62,1.2
44257.67,1.2
44257.71,1.2
44257.75,1.2
44257.79,1.2
44257.83,1.2
44257.88,1.2
44257.92,1.2
44257.96,1.2
44258,1.2
44258.04,1.2
44258.08,1.2
44258.12,1.2
44258.17,1.2
44258.21,1.2
44258.25,1.2
44258.29,1.2
44258.33,1.2
44258.38,1.2
44258.42,1.2
44258.46,1.2
44258.5,1.2
44258.54,1.2
44258.58,1.2
44258.62,1.2
44258.67,1.2
44258.71,1.2
44258.75,1.2
44258.79,1.2
44258.83,1.2
44258.88,1.2
44258.92,1.2
44258.96,1.2
44259,1.2
44259.04,1.2
44259.08,1.2
44259.12,1.2
44259.17,1.2
44259.21,1.2
44259.25,1.2
44259.29,1.2
44259.33,1.2
44259.38,1.2
44259.42,1.2
44259.46,1.2
44259.5,1.2
44259.54,1.2
44259.58,1.2
44259.62,1.2
44259.67,1.2
44259.71,1.2
44259.75,1.2
44259.79,1.2
44259.83,1.2
44259.88,1.2
44259.92,1.2
44259.96,1.2
44260,1.2
44260.04,1.2
44260.08,1.2
44260.12,1.2
44260.17,1.2
44260.21,1.2
44260.25,1.2
44260.29,1.2
44260.33,1.2
44260.38,1.2
44260.42,1.2
44260.46,1.2
44260.5,1.2
44260.54,1.2
44260.58,1.2
44260.62,1.2
44260.67,1.2
44260.71,1.2
44260.75,1.2
44260.79,1.2
44260.83,1.2
44260.88,1.2
44260.92,1.2
44260.96,1.2
44261,1.2
44261.04,1.2
44261.08,1.2
44261.12,1.2
44261.17,1.2
44261.21,1.2
44261.25,1.2
44261.29,1.2
44261.33,1.2
44261.38,1.2
44261.42,1.2
44261.46,1.2
44261.5,1.2
44261.54,1.2
44261.58,1.2
44261.62,1.2
44261.67,1.2
44261.71,1.2
44261.75,1.2
44261.79,1.2
44261.83,1.2
44261.88,1.2
